"id","edu_21","mother_edu_21","father_edu_21","age_21","race_hisp_21","ppracem.x","job_21","income_21","current_student_type_21","current_student_21","current_student1_21","college_degree_with_current_21","college_degree_obtained_21","first_gen_21","edu_20","mother_edu_20","father_edu_20","age_20","race_hisp_20","ppracem.y","job_20","income_20","current_student_type_20","current_student_20","current_student1_20","college_degree_with_current_20","college_degree_obtained_20","first_gen_20","edu_19","mother_edu_19","father_edu_19","age_19","race_hisp_19","ppracem","job_19","income_19","current_student_type_19","current_student_19","current_student1_19","college_degree_with_current_19","college_degree_obtained_19","first_gen_19"
11791,"Bachelor’s degree","Bachelor’s degree","Associate degree","35-44","Hispanic","2+ races","Office and Administrative Support","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11794,"Master’s degree","Some college but no degree","Certificate or technical degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11796,"Bachelor’s degree","Bachelor’s degree","Graduate degree","35-44","Other, Non-Hispanic","Asian","Computer and Mathematical","$100,000 to $149,999","Yes, as a full-time student","Master’s degree","1","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11800,"Master’s degree","Graduate degree","Graduate degree","35-44","2+ Races, Non-Hispanic","2+ races","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11802,"Bachelor’s degree","High school degree or GED","High school degree or GED","35-44","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11805,"Bachelor’s degree","Less than High School degree","High school degree or GED","55-64","White, Non-Hispanic","White","Architecture and Engineering","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11813,"Bachelor’s degree","Some college but no degree","Some college but no degree","45-54","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11814,"Bachelor’s degree","Bachelor’s degree","Graduate degree","25-34","White, Non-Hispanic","White","Life, Physical, and Social Sciences","$5,000 to $14,999","Yes, as a full-time student","Doctoral degree","1","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Graduate degree","Graduate degree","25-34","Black, Non-Hispanic","Black/African-American","Management","$40,000 to $49,999","No",NA,"0","1","1","cont_edu"
11829,"Bachelor’s degree","Bachelor’s degree","High school degree or GED","25-34","Hispanic","Black or African American","Food Preparation and Serving","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11833,"Bachelor’s degree","High school degree or GED","Some college but no degree","55-64","2+ Races, Non-Hispanic","2+ races","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11836,"Bachelor’s degree","Bachelor’s degree","High school degree or GED","25-34","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11837,"Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","35-44","White, Non-Hispanic","White","Protective Service","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11847,"Bachelor’s degree","High school degree or GED","High school degree or GED","25-34","Other, Non-Hispanic","Asian","Business Operations (including Marketing)","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11855,"Bachelor’s degree","Graduate degree","Graduate degree","35-44","Hispanic","White","Farming, Forestry, and Fishing","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11856,"Bachelor’s degree","High school degree or GED","High school degree or GED","35-44","White, Non-Hispanic","White","Office and Administrative Support","$25,000 to $39,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11869,"Master’s degree","Certificate or technical degree","High school degree or GED","25-34","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11870,"Bachelor’s degree","Don’t know","Less than High School degree","25-34","Hispanic","White","Management","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11874,"Bachelor’s degree","Graduate degree","Associate degree","35-44","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11888,"Master’s degree","Associate degree","Bachelor’s degree","25-34","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11891,"Master’s degree","Graduate degree","Some college but no degree","35-44","White, Non-Hispanic","White","Arts, Design, Entertainment, Sports, and Media","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11897,"Bachelor’s degree","Certificate or technical degree","High school degree or GED","35-44","White, Non-Hispanic","White","Management","$75,000 to $99,999","Yes, as a part-time student","Non-degree training program","0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11898,"Master’s degree","High school degree or GED","Bachelor’s degree","35-44","Black, Non-Hispanic","Black or African American","Financial Operations or Financial Services (including Financial Advisor, Broker)","$40,000 to $49,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11903,"Bachelor’s degree","Less than High School degree","High school degree or GED","55-64","White, Non-Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11904,"Master’s degree","Some college but no degree","High school degree or GED","55-64","White, Non-Hispanic","White","Management","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11913,"Bachelor’s degree","Certificate or technical degree","Certificate or technical degree","25-34","White, Non-Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11925,"Bachelor’s degree","Less than High School degree","Less than High School degree","65-74","Black, Non-Hispanic","Black or African American","Financial Operations or Financial Services (including Financial Advisor, Broker)","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11926,"Master’s degree","Bachelor’s degree","Graduate degree","25-34","White, Non-Hispanic","White","Life, Physical, and Social Sciences","$50,000 to $74,999","Yes, as a full-time student","Doctoral degree","1","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11931,"Bachelor’s degree","Bachelor’s degree","Some college but no degree","25-34","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11939,"Bachelor’s degree","High school degree or GED","Some college but no degree","55-64","White, Non-Hispanic","White","Arts, Design, Entertainment, Sports, and Media","$15,000 to $24,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11940,"Bachelor’s degree","Graduate degree","Graduate degree","55-64","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11942,"Master’s degree","Bachelor’s degree","Bachelor’s degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11952,"Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Community and Social Services","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11959,"Bachelor’s degree","High school degree or GED","High school degree or GED","35-44","White, Non-Hispanic","White","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11961,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Associate degree","Graduate degree","25-34","Hispanic","White","Sales","$50,000 to $74,999","Yes, as a part-time student","Bachelor�s degree","0","1","1","first_gen"
11962,"Master’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Arts, Design, Entertainment, Sports, and Media","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11965,"Bachelor’s degree","Bachelor’s degree","High school degree or GED","35-44","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Some college but no degree","65-74","White, Non-Hispanic","White","Arts, Design, Entertainment, Sports, and Media","$40,000 to $49,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Life, Physical, and Social Sciences","Refused","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Computer and Mathematical","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Management","$25,000 to $39,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Graduate degree","Graduate degree","45-54","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Certificate or technical degree","Less than High School degree","45-54","Black, Non-Hispanic","Black or African American","Protective Service","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Bachelor’s degree","35-44","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","Black, Non-Hispanic","Black or African American","Lawyer, judge","$25,000 to $39,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","High school degree or GED","Some college but no degree","65-74","White, Non-Hispanic","White","Education, Training, and Library","$40,000 to $49,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$0","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Some college but no degree","Graduate degree","35-44","White, Non-Hispanic","White","Office and Administrative Support","$15,000 to $24,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Graduate degree","Graduate degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$25,000 to $39,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$200,000 or higher","Yes, as a part-time student","Doctoral Degree","0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Some college but no degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Graduate degree","25-34","Other, Non-Hispanic","Asian","Financial Operations or Financial Services (including Financial Advisor, Broker)","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Bachelor’s degree","Certificate or technical degree","35-44","Black, Non-Hispanic","Black or African American","Office and Administrative Support","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Community and Social Services","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Less than High School degree","Less than High School degree","45-54","Hispanic","White","Management","$200,000 or higher","Yes, as a full-time student","Master�s degree","0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Bachelor’s degree","35-44","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Some college but no degree","Graduate degree","65-74","Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Graduate degree","Graduate degree","45-54","Other, Non-Hispanic","Asian","Computer and Mathematical","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Don’t know","Don’t know","45-54","Other, Non-Hispanic","Asian","Architecture and Engineering","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Some college but no degree","Some college but no degree","45-54","Black, Non-Hispanic","Black or African American","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, v","$150,000 to $199,999","No",NA,"0","1","1","first_gen","Graduate degree","Certificate or technical degree","Graduate degree","35-44","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, v","$150,000 to $199,999","No",NA,"0","1","1","first_gen"
162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Bachelor’s degree","65-74","White, Non-Hispanic","White","Education, Training, and Library","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","High school degree or GED","Bachelor’s degree","65-74","White, Non-Hispanic","White","Lawyer, judge","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Graduate degree","Graduate degree","55-64","White, Non-Hispanic","White","Computer and Mathematical","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Associate degree","Some college but no degree","45-54","White, Non-Hispanic","White","Business Operations (including Marketing)","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","High school degree or GED","Some college but no degree","45-54","White, Non-Hispanic","White","Sales","$40,000 to $49,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Graduate degree","Some college but no degree","25-34","Black, Non-Hispanic","Black or African American","Education, Training, and Library","$40,000 to $49,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Bachelor’s degree","Graduate degree","35-44","Hispanic","White","Education, Training, and Library","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","35-44","Black, Non-Hispanic","Black or African American","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Less than High School degree","Graduate degree","55-64","Other, Non-Hispanic","Asian","Management","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Graduate degree","Bachelor’s degree","35-44","White, Non-Hispanic","White","Business Operations (including Marketing)","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Bachelor’s degree","Graduate degree","25-34","White, Non-Hispanic","White","Office and Administrative Support","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Graduate degree","Graduate degree","25-34","White, Non-Hispanic","White","Management","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","High school degree or GED","Bachelor’s degree","65-74","White, Non-Hispanic","White","Office and Administrative Support","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","High school degree or GED","High school degree or GED","65-74","Black, Non-Hispanic","Black or African American","Management","$25,000 to $39,999","No",NA,"0","1","1","first_gen","Graduate degree","Associate degree","Graduate degree","45-54","Hispanic","White","Business Operations (including Marketing)","$150,000 to $199,999","No",NA,"0","1","1","first_gen"
263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Bachelor’s degree","Less than High School degree","75+","White, Non-Hispanic","White","Farming, Forestry, and Fishing","$15,000 to $24,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master’s degree","Graduate degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Life, Physical, and Social Sciences","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelor’s degree","Don’t know","High school degree or GED","35-44","White, Non-Hispanic","White","Business Operations (including Marketing)","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
